,sku,units_sold,unit_price,title,average_discount
1396,XB1_114-Console-BrolyJapanRetro,6,25.95,Broly Japan Retro,0.0
1397,XB1_116-Console-UltraInstinct,2,26.45,Ultra Instinct,0.0
1398,XB1_126-Console-Izuku,2,24.95,Izuku,0.0
1399,XB1_130-Console-Itachi,8,25.45,Itachi,0.0
1400,XB1_133-Console-SixPathsofPain,3,25.616666666666664,Six Paths of Pain,0.95
1401,XB1_136-Console-Nezuko,1,25.95,Nezuko,0.95
1402,XB1_225-Console-SpiralHill,1,22.95,Spiral Hill,0.0
1403,XB1_301-Console-Zilla,6,26.116666666666664,Zilla,0.0
1404,XB1_302-Console-Kong,3,26.95,Kong,0.0
1405,XB1_303-Console-TheOneRing,2,24.45,The One Ring,0.0
1406,XB1_308-Console-Host,3,24.95,Host *LIMITED*,0.0
1407,XB1_409-Console-Whirlpool,1,24.95,Whirlpool,0.0
1408,XB1_410-Console-Icescape,2,24.95,Icescape,0.0
1409,XB1_501-Console-NorthernLights,1,24.95,Northern Lights,0.95
1410,XB1_502-Console-Supernova,3,24.95,Supernova,0.0
1411,XB1_504-Console-SpaceSmoke,1,24.95,Space Smoke,0.0
1412,XB1_506-Console-HighVoltage,1,24.95,High Voltage,0.0
1413,XB1_507-Console-Aurora,2,24.95,Aurora,0.0
1414,XB1_601-Console-CarbonFiberBlack,2,23.95,Black Carbon Fiber,0.95
1415,XB1_602-Console-CarbonFiberBlue,2,22.95,Blue Carbon Fiber,0.0
1416,XB1_604-Console-BloodSplatter,3,24.95,Blood Splatter,0.95
1417,XB1_606-Console-WhiteMarble,1,24.95,White Marble,0.95
1418,XB1_608-Console-PaintSplatter,3,23.28333333333333,Paint Splatter,0.0
1419,XB1_609-Console-DayoftheDead,3,24.95,Day of the Dead,0.95
1420,XB1_610-Console-BreakingThrough,1,22.95,Breaking Through,0.0
1421,XB1_612-Console-AntiqueWood,1,22.95,Antique Wood,0.0
1422,XB1_614-Console-GrungeWood,1,22.95,Grunge Wood,0.0
1423,XB1_616-Console-CarbonFiberGold,1,22.95,Gold Carbon Fiber,0.0
1424,XB1_617-Console-BlackMarble,3,22.616666666666664,Black Marble,0.0
1425,XB1_617-Console-BrushedMetal,1,22.95,Brushed Metal,0.0
1426,XB1_619-Console-Patriot,2,23.95,Patriot,0.0
1427,XB1_620-Console-420,1,22.95,420,0.95
1428,XB1_621-Console-WhiteCarbonFiber,1,19.95,White Carbon Fiber,0.0
1429,XB1_624-Console-PandorasBox,1,24.95,Pandora's Box,0.95
1430,XB1_701-Console-HellsEdge,5,24.55,Hell's Edge,0.0
1431,XB1_702-Console-MoltenCore,3,24.28333333333333,Molten Core,0.0
1432,XB1_703-Console-WhatLiesBeneath,2,24.95,What Lies Beneath,0.95
1433,XBE-BacktoBlack,325,13.726357827476036,Back to Black,0.09
1434,XBE-CobaltBlue,190,13.85909090909091,Cobalt Blue,0.06
1435,XBE-LavaRed,188,13.794086021505375,Lava Red,0.14
1436,XBE-SleekSilver,233,13.853930131004365,Sleek Silver,0.0
1437,XBSeries-AmericanFlag,27,12.95,American Flag,0.0
1438,XBSeries-Anarchy,33,12.889393939393939,Anarchy,0.0
1439,XBSeries-AtomicComic,63,13.385483870967741,Atomic Comic,0.95
1440,XBSeries-Aurora,185,14.828453038674033,Aurora,0.0
1441,XBSeries-AvantGarde,66,14.828787878787878,Avant Garde,0.0
1442,XBSeries-BlackCarbonFiber,249,16.50172413793103,Black Carbon Fiber,0.95
1443,XBSeries-BloodSplatter,155,12.95,There Will Be Blood,0.0
1444,XBSeries-BlueCarbonFiber,126,16.28333333333333,Blue Carbon Fiber,0.0
1445,XBSeries-BlueDigitalCamo,42,12.949999999999998,Blue Digital Camo,0.0
1446,XBSeries-BlueMotif,59,12.933050847457626,Blue Motif,0.95
1447,XBSeries-BlueSkulls,35,13.664285714285715,Blue Skulls,0.0
1448,XBSeries-Bruh,59,12.84655172413793,Bruh,0.0
1449,XBSeries-CrimsonRedCamo,75,13.394444444444444,Crimson Red Camo,0.0
1450,XBSeries-Crystalline,50,13.158333333333331,Crystalline,0.0
1451,XBSeries-DeathsPatriot,45,12.881818181818181,Death's Patriot,0.0
